0.006	0.007	0.008	0.009	0.009	0.009	0.008	0.006	0.005	0.002	
0.010	0.013	0.016	0.017	0.018	0.017	0.015	0.012	0.009	0.004	
0.012	0.017	0.021	0.024	0.024	0.023	0.021	0.017	0.012	0.006	
0.014	0.020	0.025	0.028	0.029	0.028	0.025	0.020	0.014	0.007	
0.015	0.022	0.027	0.030	0.031	0.030	0.027	0.022	0.015	0.008	
0.015	0.022	0.027	0.030	0.031	0.030	0.027	0.022	0.015	0.008	
0.014	0.020	0.025	0.027	0.028	0.027	0.024	0.020	0.014	0.007	
0.012	0.017	0.020	0.023	0.023	0.022	0.020	0.016	0.011	0.006	
0.009	0.012	0.015	0.016	0.017	0.016	0.014	0.011	0.008	0.004	
0.006	0.007	0.008	0.008	0.009	0.008	0.007	0.006	0.004	0.002	


0.006	0.007	0.008	0.009	0.009	0.009	0.008	0.006	0.005	0.002	
0.010	0.013	0.016	0.017	0.018	0.017	0.015	0.012	0.009	0.004	
0.012	0.017	0.021	0.024	0.024	0.023	0.021	0.017	0.012	0.006	
0.014	0.020	0.025	0.028	0.029	0.028	0.025	0.020	0.014	0.007	
0.015	0.022	0.027	0.030	0.031	0.030	0.027	0.022	0.015	0.008	
0.015	0.022	0.027	0.030	0.031	0.030	0.027	0.022	0.015	0.008	
0.014	0.020	0.025	0.027	0.028	0.027	0.024	0.020	0.014	0.007	
0.012	0.017	0.020	0.023	0.023	0.022	0.020	0.016	0.011	0.006	
0.009	0.012	0.015	0.016	0.017	0.016	0.014	0.011	0.008	0.004	
0.006	0.007	0.008	0.008	0.009	0.008	0.007	0.006	0.004	0.002	


