
====================================== 0 ======================================
0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 

1.000 | 1.000 | 1.000 | 1.000 | 0.000 | 

1.000 | 1.000 | 1.000 | 1.000 | 0.000 | 

1.000 | 1.000 | 1.000 | 1.000 | 0.000 | 

1.000 | 1.000 | 1.000 | 1.000 | 0.000 | 

1.000 | 1.000 | 1.000 | 1.000 | 0.000 | 

1.000 | 1.000 | 1.000 | 1.000 | 0.000 | 

1.000 | 1.000 | 1.000 | 1.000 | 0.000 | 

1.000 | 1.000 | 1.000 | 1.000 | 0.000 | 

0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 


====================================== 101 ======================================
0.008 | 0.013 | 0.015 | 0.013 | 0.007 | 

0.016 | 0.027 | 0.029 | 0.025 | 0.014 | 

0.026 | 0.039 | 0.042 | 0.035 | 0.020 | 

0.035 | 0.050 | 0.053 | 0.044 | 0.025 | 

0.042 | 0.057 | 0.060 | 0.049 | 0.028 | 

0.045 | 0.060 | 0.062 | 0.051 | 0.028 | 

0.046 | 0.059 | 0.059 | 0.048 | 0.027 | 

0.042 | 0.052 | 0.051 | 0.041 | 0.023 | 

0.033 | 0.039 | 0.038 | 0.030 | 0.017 | 

0.020 | 0.022 | 0.020 | 0.016 | 0.009 | 

